ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트
1,경비지도사2차,2015,1,소방학,10,화재 시 가연물질 주변의 산소농도를 낮추어 소화하는 방법은?,text_only,,냉각소화,질식소화,부촉매소화,제거소화,2,1,Human,300,1,0,100.0,3.204514300615139,3.16000715755104,0,0,0,N/A,0.0,2,True,2,N/A - Human Test
2,경비지도사2차,2018,1,소방학,27,정전기 대전 방지대책으로 옳지 않은 것은?,text_only,,제전기를 사용한다.,대전체를 전기적으로 절연한다.,공기를 이온화한다.,공기 중의 상대습도를 70% 이상 유지한다.,2,2,Human,300,2,0,100.0,5.607900026076494,2.4033857254613546,0,0,0,N/A,0.0,2,True,2,N/A - Human Test
3,경비지도사2차,2021,1,소방학,13,물의 적상(drop) 주수방법에 관한 내용으로 옳은 것은?,text_only,,소화전 노즐의 주수이다.,스프링클러설비 헤드의 주수로 살수라고도 한다.,물분무 소화설비 헤드의 주수이다.,C급 화재 소화에 적합하다.,2,3,Human,300,2,0,66.66666666666666,8.678892897499335,3.070992871422842,0,0,0,N/A,0.0,1,False,1,N/A - Human Test
4,경비지도사2차,2015,1,소방학,22,다음 중 분진폭발의 위험성이 없는 것은?,text_only,,밀가루,석탄가루,산화칼슘(생석회) 분말,알루미늄 분말,3,4,Human,300,3,0,75.0,13.307635776165649,4.628742878666312,0,0,0,N/A,0.0,3,True,3,N/A - Human Test
5,경비지도사2차,2020,1,소방학,12,가연성가스의 분출화재 시 주 밸브를 닫아서 연료공급을 차단하는 소화방법은?,text_only,,냉각소화,제거소화,억제소화,질식소화,2,5,Human,300,4,0,80.0,17.758350082575564,4.450714306409916,0,0,0,N/A,0.0,2,True,2,N/A - Human Test
6,경비지도사2차,2010,1,소방학,35,화재발생 상황을 단독으로 감지하고 자체에 내장된 음향장치로 경보하는 감지기는?,text_only,,차동식 스포트형감지기,정온식 스포트형감지기,단독경보형감지기,광전식 분리형감지기,3,6,Human,300,5,0,83.33333333333334,20.56230009561381,2.803950013038247,0,0,0,N/A,0.0,3,True,3,N/A - Human Test
7,경비지도사2차,2023,1,소방학,6,폭굉(Detonation)에 관한 설명으로 옳은 것은?,text_only,,온도상승은 충격파의 압력에 반비례한다.,화염전파속도가 음속보다 빠르다.,압력은 수 기압 정도로 정압이다.,"전달에너지는 연소열에 기인하며, 충격파는 없다.",2,7,Human,300,6,0,85.71428571428571,23.633292967036652,3.0264857283587427,0,0,0,N/A,0.0,2,True,2,N/A - Human Test
8,경비지도사2차,2012,1,소방학,11,포소화약제 중 저발포형과 고발포형으로 모두 사용할 수 있는 것은?,text_only,,단백포소화약제,불화단백포소화약제,합성계면활성제포소화약제,알코올형포소화약제,3,8,Human,300,6,0,75.0,26.437242980074902,2.803950013038247,0,0,0,N/A,0.0,2,False,2,N/A - Human Test
9,경비지도사2차,2020,1,소방학,30,소방기본법령상 소방대상물에 해당하지 않는 것은?,text_only,O,산림,인공 구조물,항해 중인 선박,선박 건조 구조물,3,9,Human,300,7,0,77.77777777777779,29.196685850049047,2.759442869974148,0,0,0,N/A,0.0,3,True,3,N/A - Human Test
10,경비지도사2차,2020,1,소방학,10,위험물안전관리법령상 위험물제조소에서 제4류 위험물을 취급하는 경우에 게시판에 표시하여야 하는 주의사항은?,text_only,O,화기엄금,화기주의,물기엄금,물기주의,1,10,Human,300,8,0,80.0,31.956128720023194,2.759442869974148,0,0,0,N/A,0.0,1,True,1,N/A - Human Test
11,경비지도사2차,2016,1,소방학,35,소방기본법령상 소방신호의 종류가 아닌 것은?,text_only,O,대피신호,발화신호,해제신호,훈련신호,1,11,Human,300,8,0,72.72727272727273,35.071628734510135,3.115500014486941,0,0,0,N/A,0.0,4,False,4,N/A - Human Test
12,경비지도사2차,2010,1,소방학,1,정전기 발생의 방지대책이 아닌 것은?,text_only,,습도를 낮게 한다.,접지를 한다.,공기를 이온화시킨다.,물체간에 마찰과 충격을 최소화한다.,1,12,Human,300,9,0,75.0,38.54318589350987,3.5160643020638336,0,0,0,N/A,0.0,1,True,1,N/A - Human Test
13,경비지도사2차,2012,1,소방학,6,수소화알루미늄리튬이 물과 반응할 때 생성되는 가스는?,text_only,,메탄,포스핀,수소,에탄,3,13,Human,300,10,0,76.92307692307693,41.16910733429172,2.62592144078185,0,0,0,N/A,0.0,3,True,3,N/A - Human Test
14,경비지도사2차,2019,1,소방학,9,분진폭발이 발생할 수 있는 물질을 모두 고른 것은?\n\nㄱ. 밀가루     ㄴ. 건조사\nㄷ. 팽창질석     ㄹ. 석탄가루,text_only,,"ㄱ, ㄴ","ㄱ, ㄹ","ㄴ, ㄷ","ㄷ, ㄹ",2,14,Human,300,11,0,78.57142857142857,44.46263592103506,3.2935285867433377,0,0,0,N/A,0.0,2,True,2,N/A - Human Test
15,경비지도사2차,2018,1,소방학,15,다음 중 소방기본법상 소방대상물을 모두 고른 것은?\n\nㄱ. 건축물     ㄴ. 차량     ㄷ. 항해 중인 선박\nㄹ. 선박 건조 구조물     ㅁ. 산림,text_only,O,"ㄴ, ㄷ","ㄱ, ㄷ, ㄹ","ㄱ, ㄹ, ㅁ","ㄱ, ㄴ, ㄹ, ㅁ",4,15,Human,300,12,0,80.0,47.7561645077784,3.2935285867433377,0,0,0,N/A,0.0,4,True,4,N/A - Human Test
16,경비지도사2차,2021,1,소방학,34,제6류 위험물인 과염소산(HClO$_4$)의 성질이 아닌 것은?,text_only,,산화성 액체이다.,불연성 물질이다.,자기반응성 물질이다.,상온에서 액체이다.,3,16,Human,300,13,0,81.25,50.69363595000894,2.9374714422305446,0,0,0,N/A,0.0,3,True,3,N/A - Human Test
17,경비지도사2차,2021,1,소방학,39,폐쇄형 스프링클러설비 방식이 아닌 것은?,text_only,,습식,건식,준비작동식,일제살수식,4,17,Human,300,14,0,82.35294117647058,53.18603596159849,2.492400011589553,0,0,0,N/A,0.0,4,True,4,N/A - Human Test
