ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,예측답,정답여부,모델응답,question_duration,question_emissions_g,question_emissions_rate,question_energy_wh,question_energy_consumed,question_cpu_energy_wh,question_cpu_energy,question_gpu_energy_wh,question_gpu_energy,question_ram_energy_wh,question_ram_energy,question_cpu_emissions_g,question_gpu_emissions_g,question_ram_emissions_g,total_emissions_g,total_emissions,total_emissions_rate,total_energy_wh,total_energy_consumed,total_cpu_energy_wh,total_cpu_energy,total_gpu_energy_wh,total_gpu_energy,total_ram_energy_wh,total_ram_energy,total_cpu_emissions_g,total_gpu_emissions_g,total_ram_emissions_g,cpu_power,gpu_power,ram_power,carbon_intensity,country_name,country_iso_code,region,cloud_provider,cloud_region,timestamp,duration,tracking_mode,on_cloud,pue,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,python_version,os,codecarbon_version,문제번호,프롬프트
1,인간공학기사,2012,1,작업생리학,40,"다음 중 고온 작업장에서의 작업시 신체 내부의 체온조절 계통의 기능이 상실되어 발생하며, 체온이 과도하게 오를 경우 사망에 이를 수 있는 고열장해를 무엇이라 하는가?",text_only,,열소모,열사병,열발진,참호족,2,llama-3.3-70b,300,204,0,68.0,978.16,2.96,139,2,141,2,True,2,2.9556,0.051272,2.9e-08,0.1113,0.0001113,0.0349,3.49e-05,0.0452,4.52e-05,0.0312,3.12e-05,0.017631,0.022817,0.015758,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,1,"문제: 다음 중 고온 작업장에서의 작업시 신체 내부의 체온조절 계통의 기능이 상실되어 발생하며, 체온이 과도하게 오를 경우 사망에 이를 수 있는 고열장해를 무엇이라 하는가?

선택지:
1. 열소모
2. 열사병
3. 열발진
4. 참호족

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
2,인간공학기사,2013,3,근골격계질환 예방을 위한 작업관리,70,다음 중 방법 연구(method engineering)와 관련이 가장 적은 것은?,text_only,,신체 활동 분석,작업 및 공정 연구,작업시간의 측정 및 응용,"재료, 공구설비 및 작업조건 분석",3,llama-3.3-70b,300,204,0,68.0,978.16,2.54,118,2,120,1,False,1,2.5378,0.044025,2.5e-08,0.0955,9.55e-05,0.03,3e-05,0.0388,3.88e-05,0.0268,2.68e-05,0.015138,0.019591,0.01353,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,2,"문제: 다음 중 방법 연구(method engineering)와 관련이 가장 적은 것은?

선택지:
1. 신체 활동 분석
2. 작업 및 공정 연구
3. 작업시간의 측정 및 응용
4. 재료, 공구설비 및 작업조건 분석

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
3,인간공학기사,2020,"1,2",근골격계질환 예방을 위한 작업관리,68,"근골격계질환의 발생원인을 개인적 특성요인과 작업 특성요인으로 구분할 때, 개인적 특성요인에 해당하는 것은?",text_only,,반복적인 동작,무리한 힘의 사용,작업방법 및 기술수준,동력을 이용한 공구 사용 시 진동,3,llama-3.3-70b,300,204,0,68.0,978.16,2.95,140,2,142,3,True,3,2.9491,0.051159,2.9e-08,0.111,0.000111,0.0348,3.48e-05,0.0451,4.51e-05,0.0311,3.11e-05,0.017592,0.022766,0.015723,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,3,"문제: 근골격계질환의 발생원인을 개인적 특성요인과 작업 특성요인으로 구분할 때, 개인적 특성요인에 해당하는 것은?

선택지:
1. 반복적인 동작
2. 무리한 힘의 사용
3. 작업방법 및 기술수준
4. 동력을 이용한 공구 사용 시 진동

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
4,인간공학기사,2013,1,인간공학개론,20,다음 중 시력에 관한 설명으로 틀린 것은?,text_only,,"눈의 조절능력이 불충분한 경우, 근시 또는 원시가 된다.",시력은 세부적인 내용을 시각적으로 식별할 수 있는 능력을 말한다.,눈이 초점을 맞출 수 없는 가장 먼 거리를 원점이라 하는데 정상 시각에서 원점은 거의 무한하다.,여러 유형의 시력은 주로 망막 위에 초점이 맞추어지도록 홍채의 근육에 의한 눈의 조절능력에 달려있다.,4,llama-3.3-70b,300,204,0,68.0,978.16,4.34,195,2,197,1,False,1,4.3369,0.075233,4.3e-08,0.1632,0.0001632,0.0512,5.12e-05,0.0663,6.63e-05,0.0458,4.58e-05,0.02587,0.033479,0.023122,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,4,"문제: 다음 중 시력에 관한 설명으로 틀린 것은?

선택지:
1. 눈의 조절능력이 불충분한 경우, 근시 또는 원시가 된다.
2. 시력은 세부적인 내용을 시각적으로 식별할 수 있는 능력을 말한다.
3. 눈이 초점을 맞출 수 없는 가장 먼 거리를 원점이라 하는데 정상 시각에서 원점은 거의 무한하다.
4. 여러 유형의 시력은 주로 망막 위에 초점이 맞추어지도록 홍채의 근육에 의한 눈의 조절능력에 달려있다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
5,인간공학기사,2015,1,근골격계질환 예방을 위한 작업관리,71,다음 중 근골격계 질환과 가장 관련이 없는 것은?,text_only,,VDT 증후군,반복긴장성손상(RSI),누적외상성질환(CTDs),외상후스트레스증후군(PTSD),4,llama-3.3-70b,300,204,0,68.0,978.16,2.77,124,2,126,4,True,4,2.7717,0.048081,2.7e-08,0.1043,0.0001043,0.0327,3.27e-05,0.0424,4.24e-05,0.0292,2.92e-05,0.016533,0.021396,0.014777,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,5,"문제: 다음 중 근골격계 질환과 가장 관련이 없는 것은?

선택지:
1. VDT 증후군
2. 반복긴장성손상(RSI)
3. 누적외상성질환(CTDs)
4. 외상후스트레스증후군(PTSD)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
6,인간공학기사,2010,3,산업심리학 및 관계법규,50,다음 중 작업에 수반되는 피로를 줄이기 위한 대책으로 적절하지 않은 것은?,text_only,,작업부하의 경감,동적 동작의 제거,작업속도의 조절,작업 및 휴식시간의 조절,2,llama-3.3-70b,300,204,0,68.0,978.16,2.65,123,2,125,2,True,2,2.6549,0.046055,2.6e-08,0.0999,9.99e-05,0.0313,3.13e-05,0.0406,4.06e-05,0.028,2.8e-05,0.015836,0.020495,0.014154,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,6,"문제: 다음 중 작업에 수반되는 피로를 줄이기 위한 대책으로 적절하지 않은 것은?

선택지:
1. 작업부하의 경감
2. 동적 동작의 제거
3. 작업속도의 조절
4. 작업 및 휴식시간의 조절

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
7,인간공학기사,2019,1,인간공학개론,17,인간공학을 지칭하는 용어로 적절하지 않은 것은?,text_only,,Biology,Ergonomics,Human factors,Human factors engineering,1,llama-3.3-70b,300,204,0,68.0,978.16,2.46,99,2,101,1,True,1,2.4632,0.042731,2.4e-08,0.0927,9.27e-05,0.0291,2.91e-05,0.0376,3.76e-05,0.026,2.6e-05,0.014693,0.019015,0.013133,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,7,"문제: 인간공학을 지칭하는 용어로 적절하지 않은 것은?

선택지:
1. Biology
2. Ergonomics
3. Human factors
4. Human factors engineering

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
8,인간공학기사,2011,1,인간공학개론,9,다음 중 Fitts의 법칙에 관한 설명으로 옳은 것은?,text_only,,"표적이 작을수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.","표적이 클수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.",표적과 이동거리는 작업의 난이도와 소요 이동시간과 무관하다.,"표적이 작을수록, 이동거리가 짧을수록 작업의 난이도와 소요 이동시간이 증가한다.",1,llama-3.3-70b,300,204,0,68.0,978.16,4.13,193,2,195,1,True,1,4.1264,0.071581,4.1e-08,0.1553,0.0001553,0.0487,4.87e-05,0.0631,6.31e-05,0.0435,4.35e-05,0.024614,0.031854,0.021999,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,8,"문제: 다음 중 Fitts의 법칙에 관한 설명으로 옳은 것은?

선택지:
1. 표적이 작을수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.
2. 표적이 클수록, 이동거리가 길수록 작업의 난이도와 소요 이동시간이 증가한다.
3. 표적과 이동거리는 작업의 난이도와 소요 이동시간과 무관하다.
4. 표적이 작을수록, 이동거리가 짧을수록 작업의 난이도와 소요 이동시간이 증가한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
9,인간공학기사,2016,3,작업생리학,23,순환기계 혈액의 기능에 해당하지 않는 것은?,text_only,,운반작용,연하작용,조절작용,출혈방지,2,llama-3.3-70b,300,204,0,68.0,978.16,2.46,106,2,108,2,True,2,2.4614,0.042698,2.4e-08,0.0926,9.26e-05,0.0291,2.91e-05,0.0376,3.76e-05,0.026,2.6e-05,0.014682,0.019001,0.013123,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,9,"문제: 순환기계 혈액의 기능에 해당하지 않는 것은?

선택지:
1. 운반작용
2. 연하작용
3. 조절작용
4. 출혈방지

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
10,인간공학기사,2017,1,작업생리학,38,열교환의 네 가지 방법이 아닌 것은?,text_only,,복사(radiation),대류(convection),증발(evaporation),대사(metabolism),4,llama-3.3-70b,300,204,0,68.0,978.16,2.53,104,2,106,4,True,4,2.5281,0.043856,2.5e-08,0.0952,9.52e-05,0.0299,2.99e-05,0.0386,3.86e-05,0.0267,2.67e-05,0.01508,0.019516,0.013478,16.966524843284244,0.009416304376233,9.625967382152144e-06,36.814557787543556,0.036814557787543556,11.548109011181499,0.0115481090111815,14.94501280097225,0.014945012800972251,10.3214359753897,0.0103214359753897,5.834104672448893,7.550220467051181,5.214389454766876,42.5,55.0,38.0,505.2,South Korea,KOR,ulsan,,,2025-11-20T13:46:13,978.2190197000018,machine,N,1.0,32,"AMD64 Family 26 Model 112 Stepping 0, AuthenticAMD",1,AMD Radeon(TM) 8060S Graphics,95.78,3.13.7,Windows-11-10.0.26100-SP0,3.0.8,10,"문제: 열교환의 네 가지 방법이 아닌 것은?

선택지:
1. 복사(radiation)
2. 대류(convection)
3. 증발(evaporation)
4. 대사(metabolism)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):"
